"동별(1)",동별(2),동별(3),2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",강북구,인수동,14110,28929,13802,15127,28604,13710,14894,325,92,233
"합계",도봉구,소계,138759,306264,147827,158437,303468,146848,156620,2796,979,1817
"합계",도봉구,쌍문1동,9550,21032,9857,11175,20555,9769,10786,477,88,389
"합계",도봉구,쌍문2동,8413,17809,8501,9308,17616,8399,9217,193,102,91
"합계",도봉구,쌍문3동,8178,16430,7791,8639,16171,7715,8456,259,76,183
"합계",도봉구,쌍문4동,7118,17961,8433,9528,17895,8421,9474,66,12,54
"합계",도봉구,방학1동,12900,27572,13600,13972,27278,13479,13799,294,121,173
"합계",도봉구,방학2동,9102,18315,9177,9138,18104,9086,9018,211,91,120
"합계",도봉구,방학3동,9914,25922,12527,13395,25838,12506,13332,84,21,63
"합계",도봉구,창1동,10912,23926,11380,12546,23722,11303,12419,204,77,127
"합계",도봉구,창2동,12549,28029,13532,14497,27715,13415,14300,314,117,197
"합계",도봉구,창3동,6361,13031,6472,6559,12927,6430,6497,104,42,62
"합계",도봉구,창4동,11308,26438,12605,13833,26327,12552,13775,111,53,58
"합계",도봉구,창5동,10325,23835,11286,12549,23683,11235,12448,152,51,101
"합계",도봉구,도봉1동,10219,19797,9883,9914,19626,9818,9808,171,65,106
"합계",도봉구,도봉2동,11910,26167,12783,13384,26011,12720,13291,156,63,93
"합계",노원구,소계,217971,497389,238034,259355,492072,235878,256194,5317,2156,3161
"합계",노원구,월계1동,10008,21182,10803,10379,20349,10432,9917,833,371,462
"합계",노원구,월계2동,11677,25399,12144,13255,25220,12080,13140,179,64,115
"합계",노원구,월계3동,12859,28454,13548,14906,28284,13490,14794,170,58,112
"합계",노원구,공릉2동,17927,42342,20372,21970,41317,20041,21276,1025,331,694
"합계",노원구,하계1동,12411,26675,12716,13959,25937,12373,13564,738,343,395
"합계",노원구,하계2동,8135,20941,9958,10983,20880,9937,10943,61,21,40
"합계",노원구,중계본동,7994,22742,11012,11730,22677,10982,11695,65,30,35
"합계",노원구,중계1동,8936,26291,12804,13487,26184,12762,13422,107,42,65
"합계",노원구,중계4동,8177,19098,9242,9856,18897,9075,9822,201,167,34
"합계",노원구,상계1동,15545,36637,17591,19046,36468,17529,18939,169,62,107
"합계",노원구,상계2동,8518,19106,9414,9692,18903,9337,9566,203,77,126
"합계",노원구,상계5동,10896,22767,11047,11720,22603,10994,11609,164,53,111
"합계",노원구,상계8동,9091,21609,10253,11356,21548,10241,11307,61,12,49
"합계",노원구,상계9동,8348,19363,9040,10323,19272,9010,10262,91,30,61
"합계",노원구,상계10동,7619,17979,8263,9716,17915,8235,9680,64,28,36
"합계",노원구,상계3.4동,12429,27286,13532,13754,27174,13500,13674,112,32,80
"합계",노원구,상계6.7동,13918,31272,14369,16903,31098,14306,16792,174,63,111
"합계",노원구,중계2.3동,14832,31896,14441,17455,31770,14398,17372,126,43,83
"합계",노원구,공릉1동,18651,36350,17485,18865,35576,17156,18420,774,329,445
"합계",은평구,소계,215203,465453,220058,245395,461086,218310,242776,4367,1748,2619
"합계",은평구,녹번동,17520,36089,16816,19273,35693,16636,19057,396,180,216
"합계",은평구,불광1동,17910,37522,17575,19947,37266,17460,19806,256,115,141
"합계",은평구,갈현1동,7235,14400,6923,7477,14257,6872,7385,143,51,92
"합계",은평구,갈현2동,12737,27544,12933,14611,27278,12840,14438,266,93,173
"합계",은평구,구산동,13489,31275,15118,16157,31057,15030,16027,218,88,130
